School Number,District,School Code,Name,ENG,NEP,MATH,SCI,SOC,HPE,TOTAL,SAP,DIST,FIRST,SECOND,THIRD,PASS,FAIL,PASS PERCENT
4510,SURKHET,66035,SURKHET ELITE ENGLISH MEDIUM SCHOOL BIREND,55.5,58.8,49.2,41.8,47.2,50,13,13,1,5,4,0,10,3,76.92
4511,SURKHET,66036,JANA SEWA MA VI GHUSRA,35.6,52,24.8,30.2,42.8,41.3,33,33,0,2,8,0,10,23,30.3
4512,SURKHET,66037,JANA JYOTI MA VI JHINGNI MAINTADA,29.2,41.8,9.4,17.8,30.5,44.3,65,65,0,0,3,0,3,62,4.62
4513,SURKHET,66038,USHA BAL VATIKA BOARDING SCHOOL BIRENDRAN,52.9,58.1,50.1,37.6,38.9,45.8,83,83,0,40,27,0,67,16,80.72
4514,SURKHET,66039,JANA GYAN BHANDAR MA VI KOTKHOLA MALARANI,31.4,47.6,27.6,27.7,33,41.1,60,58,0,4,13,3,20,38,34.48
4515,SURKHET,66040,BHERI MA VI TARANGA,29.4,52.7,16.8,25.9,52.9,52,11,11,0,1,1,0,2,9,18.18
4516,SURKHET,66041,NEPAL RASTRIYA MA VI LAGAM,19.6,37.8,15,18.5,27.4,38.8,12,12,0,0,1,1,2,10,16.67
4517,SURKHET,66042,SARASWATI MA VI GHATGAON,26.3,48.7,18.9,23.2,45.1,45,22,22,0,0,2,0,2,19,9.09
4518,SURKHET,66043,INDRENI MA VI GOGANE,16.2,40.8,11.6,7.2,26.6,38.8,5,5,0,0,0,0,0,5,0
4519,SURKHET,66044,VIJAYASHWARI MA VI HARIHARPUR,26.4,42.6,17.8,27.3,54.9,44.6,8,8,0,0,3,0,3,5,37.5
4520,SURKHET,66045,SHIKHAR MA VI RAMGHAT,45.9,55.6,41.3,33.3,42.5,45.8,54,54,0,13,31,1,45,9,83.33
4521,SURKHET,66046,JANATA MA VI PUNG RANIBAS,27.8,47.6,17.9,20.7,41.7,41.1,30,30,1,1,2,1,5,25,16.67
4522,SURKHET,66047,SARASWATI MA VI PAMKA,26.5,52,25,18,36.5,45,2,2,0,0,1,0,1,1,50
4523,SURKHET,66048,NEPAL RASTRIYA MA VI BADAKHOLI MEHELKUNA,31.5,50.4,24,24.6,35,43.2,52,52,1,4,10,1,16,36,30.77
4524,SURKHET,66049,SIDDHA MA VI MEHELPANI,26.3,45.1,14.2,13.8,43.3,47.5,11,11,0,1,1,0,2,9,18.18
4525,SURKHET,66050,NEPAL RASTRIYA MA VI KARAIKHOLA,31.5,51.4,23,22.4,42.8,43.2,31,31,0,2,7,0,9,21,29.03
4526,SURKHET,66052,NEPAL RASTRIYA MA VI BETAN,22.5,39.9,18,19.8,31.4,33.4,8,8,0,0,0,1,1,7,12.5
